Number of visits to cage A
mouse;"time [h]";"EMPTY 1 dark";"EMPTY 1 light"
0A155D1804;0.00;9;0
0A155D1804;1.00;8;0
0A155D1804;2.00;0;0
0A155D1804;3.00;0;3
0A155D1804;4.00;2;22
0A155D1804;5.00;10;29
0A155D1804;6.00;10;32
0A155D1804;7.00;6;13
0A155D1804;8.00;0;8
0A155D1804;9.00;0;17
0A155D1804;10.00;0;15
0A155D1804;11.00;20;1
0A155D1804;12.00;22;9
0A155D1804;13.00;17;8
0A155D1804;14.00;0;0
0A155D1804;15.00;0;0
0A155D1804;16.00;0;2
0A155D1804;17.00;0;10
0A155D1804;18.00;0;10
0A155D1804;19.00;0;6
0A155D1804;20.00;0;0
0A155D1804;21.00;0;0
0A155D1804;22.00;0;0
0A155D1804;23.00;0;20
0A155D1804;24.00;3;22
0A155D1804;25.00;34;17
0A155D1804;26.00;15;0
0A155D1804;27.00;10;0
0A155D1804;28.00;0;0
0A155D1804;29.00;0;0
0A155D1804;30.00;9;0
0A155D1804;31.00;32;0
0A155D1804;32.00;41;0
0A155D1804;33.00;11;0
0A155D1804;34.00;0;0
0A155D1804;35.00;18;0
0A155D1804;36.00;26;3
0A155D1804;37.00;8;34
0A155D1804;38.00;0;15
0A155D1804;39.00;1;10
0A155D1804;40.00;2;0
0A155D1804;41.00;0;0
0A155D1804;42.00;2;9
0A155D1804;43.00;0;32
0A155D1804;44.00;0;41
0A155D1804;45.00;1;11
0A155D1804;46.00;0;0
0A155D1804;47.00;0;18
0A155D1804;48.00;1;26
0A155D1804;49.00;46;8
0A155D1804;50.00;37;0
0A155D1804;51.00;21;1
0A155D1804;52.00;15;2
0A155D1804;53.00;6;0
0A155D1804;54.00;19;2
0A155D1804;55.00;26;0
0A155D1804;56.00;0;0
0A155D1804;57.00;21;1
0A155D1804;58.00;0;0
0A155D1804;59.00;44;0
0A155D1804;60.00;26;1
0A155D1804;61.00;11;46
0A155D1804;62.00;10;37
0A155D1804;63.00;6;21
0A155D1804;64.00;0;15
0A155D1804;65.00;0;6
0A155D1804;66.00;0;19
0A155D1804;67.00;0;26
0A155D1804;68.00;0;0
0A155D1804;69.00;0;21
0A155D1804;70.00;0;0
0A155D1804;71.00;0;44
0A155D1804;72.00;1;26
0A155D1804;73.00;35;11
0A155D1804;74.00;39;10
0A155D1804;75.00;34;6
0A155D1804;76.00;13;0
0A155D1804;77.00;18;0
0A155D1804;78.00;12;0
0A155D1804;79.00;28;0
0A155D1804;80.00;4;0
0A155D1804;81.00;0;0
0A155D1804;82.00;0;0
0A155D1804;83.00;15;0
0A155D1804;84.00;27;1
0A155D1804;85.00;0;35
0A155D1804;86.00;8;39
0A155D1804;87.00;0;34
0A155D1804;88.00;0;13
0A155D1804;89.00;5;18
0A155D1804;90.00;0;12
0A155D1804;91.00;0;28
0A155D1804;92.00;0;4
0A155D1804;93.00;0;0
0A155D1804;94.00;0;0
0A155D1804;95.00;0;15
0A155D1804;96.00;0;27
0A155D1804;97.00;37;0
0A155D1804;98.00;1;8
0A155D1804;99.00;5;0
0A155D1804;100.00;24;0
0A155D1804;101.00;9;5
0A155D1804;102.00;23;0
0A155D1804;103.00;3;0
0A155D1804;104.00;0;0
