Number of visits to cage A
mouse;"time [h]";"1_x"
0A155D1804;0.00;1187
33F05C1804;0.00;1321
3E085D1804;0.00;1551
46ED5C1804;0.00;953
57035D1804;0.00;1826
5D18040000;0.00;0
5FCF5C1804;0.00;1041
AA025D1804;0.00;811
C40B5D1804;0.00;1220
C8045D1804;0.00;908
CBE65C1804;0.00;1166
Total time (sec) in cage A
mouse;"time [h]";"1_x"
0A155D1804;0.00;53890.652
33F05C1804;0.00;50198.583
3E085D1804;0.00;67819.646
46ED5C1804;0.00;110156.483
57035D1804;0.00;68302.408
5D18040000;0.00;  0.000
5FCF5C1804;0.00;65367.427
AA025D1804;0.00;29389.498
C40B5D1804;0.00;84459.202
C8045D1804;0.00;49061.548
CBE65C1804;0.00;63424.714
Number of visits to cage B
mouse;"time [h]";"1_x"
0A155D1804;0.00;729
33F05C1804;0.00;908
3E085D1804;0.00;996
46ED5C1804;0.00;714
57035D1804;0.00;1004
5D18040000;0.00;0
5FCF5C1804;0.00;679
AA025D1804;0.00;540
C40B5D1804;0.00;756
C8045D1804;0.00;615
CBE65C1804;0.00;721
Total time (sec) in cage B
mouse;"time [h]";"1_x"
0A155D1804;0.00;28914.733
33F05C1804;0.00;30784.177
3E085D1804;0.00;25069.110
46ED5C1804;0.00;24131.298
57035D1804;0.00;24502.849
5D18040000;0.00;  0.000
5FCF5C1804;0.00;18950.411
AA025D1804;0.00;20775.831
C40B5D1804;0.00;28985.437
C8045D1804;0.00;24328.007
CBE65C1804;0.00;26526.790
Number of visits to cage C
mouse;"time [h]";"1_x"
0A155D1804;0.00;498
33F05C1804;0.00;693
3E085D1804;0.00;835
46ED5C1804;0.00;652
57035D1804;0.00;759
5D18040000;0.00;0
5FCF5C1804;0.00;606
AA025D1804;0.00;562
C40B5D1804;0.00;547
C8045D1804;0.00;471
CBE65C1804;0.00;570
Total time (sec) in cage C
mouse;"time [h]";"1_x"
0A155D1804;0.00;411239.462
33F05C1804;0.00;401951.855
3E085D1804;0.00;373297.819
46ED5C1804;0.00;354507.028
57035D1804;0.00;392552.176
5D18040000;0.00;  0.000
5FCF5C1804;0.00;407163.359
AA025D1804;0.00;442246.075
C40B5D1804;0.00;369724.131
C8045D1804;0.00;418417.300
CBE65C1804;0.00;403723.781
Number of visits to cage D
mouse;"time [h]";"1_x"
0A155D1804;0.00;693
33F05C1804;0.00;800
3E085D1804;0.00;953
46ED5C1804;0.00;671
57035D1804;0.00;902
5D18040000;0.00;0
5FCF5C1804;0.00;850
AA025D1804;0.00;735
C40B5D1804;0.00;783
C8045D1804;0.00;606
CBE65C1804;0.00;733
Total time (sec) in cage D
mouse;"time [h]";"1_x"
0A155D1804;0.00;35164.761
33F05C1804;0.00;37663.183
3E085D1804;0.00;48347.401
46ED5C1804;0.00;36938.494
57035D1804;0.00;42253.737
5D18040000;0.00;  0.000
5FCF5C1804;0.00;34544.674
AA025D1804;0.00;31173.088
C40B5D1804;0.00;44919.622
C8045D1804;0.00;35937.422
CBE65C1804;0.00;33584.669
