Number of visits to cage A
mouse;"time [h]";"1_x";"2_x";"3_x";"4_x";"5_x";"6_x"
0A155D1804;0.00;104;213;289;239;158;142
33F05C1804;0.00;121;247;179;211;190;339
3E085D1804;0.00;141;292;323;288;172;220
46ED5C1804;0.00;119;140;151;190;171;111
57035D1804;0.00;270;404;261;230;273;285
5D18040000;0.00;0;0;0;0;0;0
5FCF5C1804;0.00;139;190;158;164;158;154
AA025D1804;0.00;112;93;140;183;163;74
C40B5D1804;0.00;149;170;270;172;218;185
C8045D1804;0.00;157;195;143;122;131;108
CBE65C1804;0.00;150;212;274;180;145;155
Total time (sec) in cage A
mouse;"time [h]";"1_x";"2_x";"3_x";"4_x";"5_x";"6_x"
0A155D1804;0.00;6719.728;8852.834;11394.043;11672.118;5794.064;7656.502
33F05C1804;0.00;3364.695;9954.582;7919.421;9460.115;8327.909;10460.621
3E085D1804;0.00;10815.285;10467.722;14229.506;13007.471;6012.024;9014.218
46ED5C1804;0.00;16617.491;18272.458;16154.067;18731.594;21428.878;12369.798
57035D1804;0.00;8927.975;15493.638;10523.667;9640.765;10008.540;9652.326
5D18040000;0.00;  0.000;  0.000;  0.000;  0.000;  0.000;  0.000
5FCF5C1804;0.00;6929.576;9577.813;12137.713;12131.526;11135.189;9391.950
AA025D1804;0.00;3919.867;3795.694;4481.850;5638.307;6638.649;3102.506
C40B5D1804;0.00;5503.813;12684.975;19398.083;13216.729;12365.666;15620.487
C8045D1804;0.00;10647.865;8717.169;6771.024;5666.577;7975.265;7121.325
CBE65C1804;0.00;8603.910;9141.449;11424.024;8475.881;9008.838;13432.229
Number of visits to cage B
mouse;"time [h]";"1_x";"2_x";"3_x";"4_x";"5_x";"6_x"
0A155D1804;0.00;59;120;174;135;103;94
33F05C1804;0.00;114;189;115;156;127;173
3E085D1804;0.00;91;188;178;167;143;152
46ED5C1804;0.00;60;97;109;118;144;113
57035D1804;0.00;156;226;156;130;116;157
5D18040000;0.00;0;0;0;0;0;0
5FCF5C1804;0.00;104;134;93;82;95;103
AA025D1804;0.00;73;69;82;119;88;58
C40B5D1804;0.00;128;126;133;94;106;117
C8045D1804;0.00;78;117;87;93;95;86
CBE65C1804;0.00;93;133;144;115;99;100
Total time (sec) in cage B
mouse;"time [h]";"1_x";"2_x";"3_x";"4_x";"5_x";"6_x"
0A155D1804;0.00;2023.005;4191.183;6721.367;5139.993;3653.084;5012.819
33F05C1804;0.00;4698.067;6086.795;4267.146;4914.300;4720.298;4678.903
3E085D1804;0.00;2279.540;3842.163;3964.255;4150.141;3635.015;4784.731
46ED5C1804;0.00;2086.814;4344.724;4158.732;3287.331;3835.996;4291.243
57035D1804;0.00;4191.253;4138.866;4648.832;3888.401;3207.178;3073.520
5D18040000;0.00;  0.000;  0.000;  0.000;  0.000;  0.000;  0.000
5FCF5C1804;0.00;3183.799;3890.991;3355.177;2278.540;2255.424;2596.114
AA025D1804;0.00;2704.793;2665.217;3028.868;4206.623;2885.058;3153.731
C40B5D1804;0.00;5630.867;6291.164;4081.927;3532.847;3648.488;4106.429
C8045D1804;0.00;2607.793;3924.114;4257.117;4463.114;3328.940;3549.581
CBE65C1804;0.00;3105.896;4442.616;4762.309;5186.351;4431.509;3444.475
Number of visits to cage C
mouse;"time [h]";"1_x";"2_x";"3_x";"4_x";"5_x";"6_x"
0A155D1804;0.00;69;94;103;105;57;45
33F05C1804;0.00;121;172;80;93;87;108
3E085D1804;0.00;77;119;121;149;172;143
46ED5C1804;0.00;86;97;93;125;112;91
57035D1804;0.00;172;143;103;92;101;99
5D18040000;0.00;0;0;0;0;0;0
5FCF5C1804;0.00;107;119;94;81;78;90
AA025D1804;0.00;90;92;93;106;82;54
C40B5D1804;0.00;108;117;87;68;67;76
C8045D1804;0.00;76;88;73;65;67;63
CBE65C1804;0.00;92;115;116;78;63;77
Total time (sec) in cage C
mouse;"time [h]";"1_x";"2_x";"3_x";"4_x";"5_x";"6_x"
0A155D1804;0.00;74584.845;68302.909;62704.939;63087.936;70079.501;61933.520
33F05C1804;0.00;72598.385;64151.037;65915.092;64144.319;63202.102;61271.581
3E085D1804;0.00;65322.358;61491.774;60619.273;59827.847;62055.355;59348.716
46ED5C1804;0.00;62958.665;57616.725;59493.634;58066.159;50935.648;59835.791
57035D1804;0.00;65659.527;60669.754;65285.106;66940.820;63854.091;61198.194
5D18040000;0.00;  0.000;  0.000;  0.000;  0.000;  0.000;  0.000
5FCF5C1804;0.00;71071.367;68612.475;66260.111;67446.615;63918.593;65209.509
AA025D1804;0.00;76906.882;75821.895;75414.249;70519.700;62529.015;71099.720
C40B5D1804;0.00;64962.779;62518.231;56567.286;61726.376;62248.989;54208.053
C8045D1804;0.00;66955.922;68866.590;71041.796;70787.439;66217.994;65485.075
CBE65C1804;0.00;69390.681;67053.316;65649.883;67100.404;64494.110;59172.645
Number of visits to cage D
mouse;"time [h]";"1_x";"2_x";"3_x";"4_x";"5_x";"6_x"
0A155D1804;0.00;74;155;150;123;81;80
33F05C1804;0.00;115;173;99;126;114;139
3E085D1804;0.00;83;153;170;185;162;149
46ED5C1804;0.00;85;104;104;128;128;78
57035D1804;0.00;180;194;122;122;126;112
5D18040000;0.00;0;0;0;0;0;0
5FCF5C1804;0.00;124;169;134;134;120;116
AA025D1804;0.00;107;116;132;142;111;72
C40B5D1804;0.00;121;131;159;108;121;113
C8045D1804;0.00;82;134;97;91;94;70
CBE65C1804;0.00;92;157;138;110;92;109
Total time (sec) in cage D
mouse;"time [h]";"1_x";"2_x";"3_x";"4_x";"5_x";"6_x"
0A155D1804;0.00;2535.222;4317.937;4138.710;5368.589;5602.160;10108.948
33F05C1804;0.00;4621.802;4749.504;3917.757;5803.499;8777.219;8291.405
3E085D1804;0.00;4934.305;7226.537;4458.990;6097.499;10748.788;10802.093
46ED5C1804;0.00;3347.194;4332.652;4515.167;4960.738;9231.225;7757.549
57035D1804;0.00;6832.094;3903.167;4159.952;4956.832;8218.676;10940.600
5D18040000;0.00;  0.000;  0.000;  0.000;  0.000;  0.000;  0.000
5FCF5C1804;0.00;4100.976;3227.617;3725.874;3923.361;8436.753;8161.352
AA025D1804;0.00;2270.779;2371.532;2771.583;4802.608;7565.820;7811.932
C40B5D1804;0.00;8119.742;4366.339;5522.893;5925.012;7345.830;10939.536
C8045D1804;0.00;2920.810;3203.548;3733.087;4882.797;7832.504;9416.495
CBE65C1804;0.00;3275.290;4382.176;3447.469;4283.776;7131.364;8780.432
