Number of visits to cage A
mouse;"time [h]";"EMPTY 1 dark";"EMPTY 1 light"
0A155D1804;0.00;1132;1285
33F05C1804;0.00;1241;1422
3E085D1804;0.00;1418;1622
46ED5C1804;0.00;867;1045
57035D1804;0.00;1695;1985
5D18040000;0.00;0;0
5FCF5C1804;0.00;952;1167
AA025D1804;0.00;759;885
C40B5D1804;0.00;1149;1357
C8045D1804;0.00;851;1028
CBE65C1804;0.00;1099;1273
Total time (sec) in cage A
mouse;"time [h]";"EMPTY 1 dark";"EMPTY 1 light"
0A155D1804;0.00;51620.906;56622.978
33F05C1804;0.00;46232.995;52489.731
3E085D1804;0.00;62437.620;68178.296
46ED5C1804;0.00;101828.956;108830.846
57035D1804;0.00;62929.947;68429.103
5D18040000;0.00;  0.000;  0.000
5FCF5C1804;0.00;60771.999;65575.676
AA025D1804;0.00;27158.511;30049.389
C40B5D1804;0.00;77160.887;83249.935
C8045D1804;0.00;46800.550;50447.349
CBE65C1804;0.00;58441.746;62683.602
Number of visits to cage B
mouse;"time [h]";"EMPTY 1 dark";"EMPTY 1 light"
0A155D1804;0.00;677;813
33F05C1804;0.00;836;1018
3E085D1804;0.00;897;1060
46ED5C1804;0.00;626;778
57035D1804;0.00;922;1141
5D18040000;0.00;0;0
5FCF5C1804;0.00;600;768
AA025D1804;0.00;483;604
C40B5D1804;0.00;687;889
C8045D1804;0.00;551;683
CBE65C1804;0.00;664;825
Total time (sec) in cage B
mouse;"time [h]";"EMPTY 1 dark";"EMPTY 1 light"
0A155D1804;0.00;26425.552;29233.376
33F05C1804;0.00;28156.085;32192.434
3E085D1804;0.00;21854.487;24746.521
46ED5C1804;0.00;21518.406;24262.306
57035D1804;0.00;22738.756;25962.479
5D18040000;0.00;  0.000;  0.000
5FCF5C1804;0.00;17349.619;20139.510
AA025D1804;0.00;18126.312;20515.135
C40B5D1804;0.00;26450.628;31682.217
C8045D1804;0.00;22050.699;24802.577
CBE65C1804;0.00;24441.535;28073.020
Number of visits to cage C
mouse;"time [h]";"EMPTY 1 dark";"EMPTY 1 light"
0A155D1804;0.00;468;640
33F05C1804;0.00;632;851
3E085D1804;0.00;757;956
46ED5C1804;0.00;591;793
57035D1804;0.00;692;957
5D18040000;0.00;0;0
5FCF5C1804;0.00;562;765
AA025D1804;0.00;511;669
C40B5D1804;0.00;505;706
C8045D1804;0.00;426;589
CBE65C1804;0.00;523;689
Total time (sec) in cage C
mouse;"time [h]";"EMPTY 1 dark";"EMPTY 1 light"
0A155D1804;0.00;359730.857;418837.859
33F05C1804;0.00;355398.556;410541.088
3E085D1804;0.00;329907.916;387213.563
46ED5C1804;0.00;309823.184;365985.499
57035D1804;0.00;344506.387;400186.306
5D18040000;0.00;  0.000;  0.000
5FCF5C1804;0.00;361799.082;420084.674
AA025D1804;0.00;391617.334;454157.085
C40B5D1804;0.00;324977.214;376707.782
C8045D1804;0.00;367686.020;427866.048
CBE65C1804;0.00;355292.274;412849.480
Number of visits to cage D
mouse;"time [h]";"EMPTY 1 dark";"EMPTY 1 light"
0A155D1804;0.00;655;819
33F05C1804;0.00;737;929
3E085D1804;0.00;884;1066
46ED5C1804;0.00;613;806
57035D1804;0.00;832;1103
5D18040000;0.00;0;0
5FCF5C1804;0.00;788;966
AA025D1804;0.00;674;803
C40B5D1804;0.00;732;925
C8045D1804;0.00;562;707
CBE65C1804;0.00;675;812
Total time (sec) in cage D
mouse;"time [h]";"EMPTY 1 dark";"EMPTY 1 light"
0A155D1804;0.00;31099.849;35383.878
33F05C1804;0.00;33482.124;39460.201
3E085D1804;0.00;42406.535;47336.833
46ED5C1804;0.00;32563.255;37780.315
57035D1804;0.00;36713.421;43412.612
5D18040000;0.00;  0.000;  0.000
5FCF5C1804;0.00;30011.716;35372.346
AA025D1804;0.00;26300.589;29840.426
C40B5D1804;0.00;38860.761;47159.331
C8045D1804;0.00;30661.872;35581.587
CBE65C1804;0.00;28305.754;34300.835
