mouse;"time [h]";"0A155D1804";"33F05C1804";"3E085D1804";"46ED5C1804";"57035D1804";"5D18040000";"5FCF5C1804";"AA025D1804";"C40B5D1804";"C8045D1804";"CBE65C1804"
0A155D1804;0.00;0;12.0;6.0;0.5;12.5;0.0;3.0;0.5;2.5;4.5;7.0
33F05C1804;0.00;17.5;0;8.5;8.0;18.5;0.0;10.0;4.5;15.5;16.0;11.5
3E085D1804;0.00;10.5;4.0;0;5.5;8.0;0.0;6.5;4.5;1.0;0.5;15.5
46ED5C1804;0.00;5.5;6.0;12.5;0;7.0;0.0;0.5;2.0;0.0;9.0;0.5
57035D1804;0.00;13.0;17.0;4.0;1.5;0;0.0;3.5;12.0;8.5;3.0;7.5
5D18040000;0.00;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0
5FCF5C1804;0.00;11.5;8.0;15.0;2.5;9.5;0.0;0;3.5;0.5;17.0;3.5
AA025D1804;0.00;11.5;15.5;12.5;4.5;4.0;0.0;0.0;0;4.5;3.5;5.0
C40B5D1804;0.00;11.5;1.0;0.0;10.5;10.0;0.0;3.5;1.5;0;3.0;1.0
C8045D1804;0.00;5.0;12.0;10.0;2.5;7.0;0.0;4.5;-2.0;3.5;0;3.5
CBE65C1804;0.00;9.0;14.5;3.0;6.5;19.0;0.0;3.0;3.5;4.5;2.5;0
