mouse;"time [h]";"0A155D1804";"33F05C1804";"3E085D1804";"46ED5C1804";"57035D1804";"5D18040000";"5FCF5C1804";"AA025D1804";"C40B5D1804";"C8045D1804";"CBE65C1804"
0A155D1804;0.00;0;11.0;8.5;3.0;17.5;0.0;5.0;1.5;3.0;9.0;5.5
33F05C1804;0.00;18.5;0;10.0;9.5;23.5;0.0;14.0;7.0;17.0;17.5;10.5
3E085D1804;0.00;12.0;4.5;0;7.5;13.0;0.0;8.5;4.5;6.5;3.0;14.0
46ED5C1804;0.00;6.0;5.5;13.0;0;8.0;0.0;5.0;3.0;3.0;9.0;-1.5
57035D1804;0.00;13.5;23.0;2.0;3.5;0;0.0;5.5;12.0;11.0;8.5;9.0
5D18040000;0.00;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0
5FCF5C1804;0.00;12.0;8.5;17.5;8.0;10.5;0.0;0;5.0;3.5;22.0;3.0
AA025D1804;0.00;11.5;17.5;12.0;3.0;6.5;0.0;3.0;0;7.0;10.0;5.5
C40B5D1804;0.00;13.0;1.0;-1.5;9.5;18.5;0.0;10.5;2.5;0;7.5;2.5
C8045D1804;0.00;8.0;10.5;11.5;4.0;8.0;0.0;9.0;-1.0;12.0;0;4.5
CBE65C1804;0.00;12.0;16.5;2.5;8.0;19.0;0.0;2.5;6.5;7.5;4.0;0
