mouse;"time [h]";"0A155D1804";"33F05C1804";"3E085D1804";"46ED5C1804";"57035D1804";"5D18040000";"5FCF5C1804";"AA025D1804";"C40B5D1804";"C8045D1804";"CBE65C1804"
0A155D1804;0.00;0;0.10961239995001443;0.12863776464508592;0.12663026235470132;0.11282393501238225;0.0;0.12280254145111313;0.12096312701059753;0.12102170409816221;0.12652744101033725;0.09080459819515696
33F05C1804;0.00;0;0;0.09350762487772685;0.07948377526477324;0.09238195107752228;0.0;0.08892187583214722;0.09799382845122262;0.09835648894983867;0.10411462653938491;0.09008366426641395
3E085D1804;0.00;0;0;0;0.1356842922462439;0.1064200864853716;0.0;0.12645463129197865;0.12858878810420438;0.12057473881551306;0.11865356632476326;0.09760571636151527
46ED5C1804;0.00;0;0;0;0;0.09170445697293;0.0;0.12719456876626428;0.12698769208073507;0.11088235924945372;0.110293364745022;0.09968710627894267
57035D1804;0.00;0;0;0;0;0;0.0;0.11060501365186487;0.1089925778417366;0.08892580703578074;0.10507122013336168;0.09526348768781973
5D18040000;0.00;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0
5FCF5C1804;0.00;0;0;0;0;0;0;0;0.11688328099199019;0.12015601743320964;0.11466682182423726;0.09896912577189221
AA025D1804;0.00;0;0;0;0;0;0;0;0;0.1151039188120207;0.12178949873329714;0.0969134177979672
C40B5D1804;0.00;0;0;0;0;0;0;0;0;0;0.1081006848785876;0.09872421350184657
C8045D1804;0.00;0;0;0;0;0;0;0;0;0;0;0.09530080684097403
CBE65C1804;0.00;0;0;0;0;0;0;0;0;0;0;0
