Mice alone in cage A
Mouse;EMPTY 1 dark;EMPTY 1 light
0A155D1804;13320.989000320435;15108.581000089645
33F05C1804;16712.943999290466;19621.63099837303
3E085D1804;21319.142999649048;23922.501999139786
46ED5C1804;44542.41299986839;47222.53199958801
57035D1804;23137.11099910736;25235.814999103546
5D18040000;0;0
5FCF5C1804;19402.906997203827;20799.600996494293
AA025D1804;4123.961999416351;4363.510998725891
C40B5D1804;29306.22000026703;31674.859001636505
C8045D1804;13705.489998102188;14689.35999917984
CBE65C1804;20513.329001665115;21675.844002008438
Mice alone in cage B
Mouse;EMPTY 1 dark;EMPTY 1 light
0A155D1804;12635.761999607086;13746.473999023438
33F05C1804;15535.171998023987;17570.14599633217
3E085D1804;10651.71200299263;12124.019003629684
46ED5C1804;12089.978999137878;13129.552999019623
57035D1804;11372.557000637054;12718.173001527786
5D18040000;0;0
5FCF5C1804;8837.705999612808;9848.523998975754
AA025D1804;8251.166000843048;9007.26200056076
C40B5D1804;15740.425001859665;18308.06700372696
C8045D1804;10753.394001483917;11653.536999940872
CBE65C1804;13431.35800075531;15146.833999872208
Mice alone in cage C
Mouse;EMPTY 1 dark;EMPTY 1 light
0A155D1804;9168.684000253677;9278.842000484467
33F05C1804;9797.06700015068;9860.461999893188
3E085D1804;175.87699961662292;240.34599947929382
46ED5C1804;13112.588000774384;13142.785001039505
57035D1804;1274.2970006465912;1326.434000492096
5D18040000;0;0
5FCF5C1804;903.8789999485016;1143.7780003547668
AA025D1804;15479.32799911499;18303.81899857521
C40B5D1804;1590.4709997177124;1727.2399995326996
C8045D1804;10008.029000043869;10423.704999923706
CBE65C1804;16683.975998163223;22506.50099849701
Mice alone in cage D
Mouse;EMPTY 1 dark;EMPTY 1 light
0A155D1804;9381.447003126144;10755.351002454758
33F05C1804;15495.816000699997;18465.595999240875
3E085D1804;16091.90599989891;17435.52999973297
46ED5C1804;15498.311002492905;16972.297003030777
57035D1804;15758.892999887466;18186.09299826622
5D18040000;0;0
5FCF5C1804;11352.192998170853;12832.231997966766
AA025D1804;6634.835998058319;7270.6849982738495
C40B5D1804;18402.617004156113;21764.997001886368
C8045D1804;10491.128000736237;12456.752998828888
CBE65C1804;13848.06800198555;16434.32300233841
