mouse;"time [h]";"0A155D1804";"33F05C1804";"3E085D1804";"46ED5C1804";"57035D1804";"5D18040000";"5FCF5C1804";"AA025D1804";"C40B5D1804";"C8045D1804";"CBE65C1804"
0A155D1804;0.00;0;3.5;1.5;1.0;0.0;0.0;2.0;3.5;-0.5;2.0;-1.0
33F05C1804;0.00;2.0;0;1.0;0.0;-0.5;0.0;0.0;1.0;0.0;-1.0;-1.0
3E085D1804;0.00;-0.5;-0.5;0;0.0;4.0;0.0;2.0;2.0;-1.0;2.5;-0.5
46ED5C1804;0.00;0.5;0.0;0.5;0;4.5;0.0;0.5;-0.5;2.5;0.5;0.5
57035D1804;0.00;2.0;2.0;-2.5;2.5;0;0.0;2.0;-0.5;0.0;0.0;1.5
5D18040000;0.00;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0
5FCF5C1804;0.00;-0.5;3.0;-0.5;1.0;-1.0;0.0;0;0.0;-0.5;1.0;0.5
AA025D1804;0.00;0.0;-1.0;0.0;-0.5;0.0;0.0;2.0;0;0.0;0.0;1.5
C40B5D1804;0.00;0.0;0.5;0.5;1.5;0.5;0.0;0.5;0.0;0;0.5;1.5
C8045D1804;0.00;-0.5;3.0;0.5;0.5;0.5;0.0;1.5;0.0;3.0;0;-0.5
CBE65C1804;0.00;1.0;-1.5;2.0;0.5;0.0;0.0;-0.5;-0.5;1.0;0.0;0
