mouse;"time [h]";"0A155D1804";"33F05C1804";"3E085D1804";"46ED5C1804";"57035D1804";"5D18040000";"5FCF5C1804";"AA025D1804";"C40B5D1804";"C8045D1804";"CBE65C1804"
0A155D1804;0.00;0;0.5;0.0;0.0;1.0;0.0;0.0;-0.5;0.0;0.5;-0.5
33F05C1804;0.00;0.0;0;-1.0;0.0;0.0;0.0;1.0;-0.5;-0.5;0.0;0.0
3E085D1804;0.00;0.0;-0.5;0;1.0;1.0;0.0;0.0;1.0;-1.5;0.0;0.0
46ED5C1804;0.00;0.5;-0.5;1.0;0;0.5;0.0;0.0;1.0;0.0;0.0;0.0
57035D1804;0.00;0.0;0.5;0.0;0.5;0;0.0;0.0;-0.5;0.0;0.0;-1.0
5D18040000;0.00;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0
5FCF5C1804;0.00;0.0;1.0;0.5;1.0;0.0;0.0;0;0.0;0.0;1.0;0.5
AA025D1804;0.00;0.0;0.0;0.0;-0.5;0.0;0.0;0.5;0;-0.5;0.0;1.5
C40B5D1804;0.00;0.0;1.0;-2.0;0.5;-0.5;0.0;0.0;-0.5;0;0.0;0.0
C8045D1804;0.00;0.0;-1.0;0.0;0.0;-0.5;0.0;1.0;-0.5;1.0;0;-1.0
CBE65C1804;0.00;0.0;0.0;0.0;0.0;-0.5;0.0;0.0;0.0;0.5;0.0;0
